rid	hid	duration	itime	otime	jtid	jtname
1000005067	28240	120	2018-03-12 17:00:36	2018-03-12 17:02:36	7	Nursing Assistant
1000005071	22030	310	2018-03-12 10:05:39	2018-03-12 10:10:49	2	Physical Therapy
1000005071	22095	682	2018-03-12 11:58:30	2018-03-12 12:09:52	8	Case Manager
1000005071	22218	254	2018-03-12 11:13:47	2018-03-12 11:18:01	1	Nursing
1000005074	22022	400	2018-03-12 08:43:53	2018-03-12 08:50:33	2	Physical Therapy
1000005074	22022	167	2018-03-12 08:55:31	2018-03-12 08:58:18	2	Physical Therapy
1000005074	22022	189	2018-03-12 12:59:28	2018-03-12 13:02:37	2	Physical Therapy
1000005074	22022	177	2018-03-12 13:04:49	2018-03-12 13:07:46	2	Physical Therapy
1000005074	22030	687	2018-03-12 08:40:50	2018-03-12 08:52:17	2	Physical Therapy
1000005074	22030	150	2018-03-12 08:55:45	2018-03-12 08:58:15	2	Physical Therapy
1000005074	22030	133	2018-03-12 10:15:33	2018-03-12 10:17:46	2	Physical Therapy
1000005074	22030	91	2018-03-12 11:31:56	2018-03-12 11:33:27	2	Physical Therapy
1000005074	22030	476	2018-03-12 12:59:41	2018-03-12 13:07:37	2	Physical Therapy
1000005074	22214	350	2018-03-12 07:18:34	2018-03-12 07:24:24	1	Nursing
1000005074	22214	147	2018-03-12 09:18:49	2018-03-12 09:21:16	1	Nursing
1000005074	22214	157	2018-03-12 09:21:46	2018-03-12 09:24:23	1	Nursing
1000005074	22214	267	2018-03-12 09:26:27	2018-03-12 09:30:54	1	Nursing
1000005074	22214	111	2018-03-12 12:15:23	2018-03-12 12:17:14	1	Nursing
1000005074	22214	67	2018-03-12 14:01:50	2018-03-12 14:02:57	1	Nursing
1000005074	22214	297	2018-03-12 16:03:27	2018-03-12 16:08:24	1	Nursing
1000005074	22214	232	2018-03-12 16:16:05	2018-03-12 16:19:57	1	Nursing
1000005074	22214	292	2018-03-12 16:30:19	2018-03-12 16:35:11	1	Nursing
1000005074	22214	292	2018-03-12 17:16:42	2018-03-12 17:21:34	1	Nursing
1000005074	22218	95	2018-03-12 07:16:41	2018-03-12 07:18:16	1	Nursing
1000005074	22218	76	2018-03-12 08:19:58	2018-03-12 08:21:14	1	Nursing
1000005074	22218	184	2018-03-12 08:34:25	2018-03-12 08:37:29	1	Nursing
1000005074	22218	203	2018-03-12 08:43:43	2018-03-12 08:47:06	1	Nursing
1000005074	22218	337	2018-03-12 08:48:24	2018-03-12 08:54:01	1	Nursing
1000005074	22218	162	2018-03-12 08:55:40	2018-03-12 08:58:22	1	Nursing
1000005074	22218	456	2018-03-12 09:32:12	2018-03-12 09:39:48	1	Nursing
1000005074	22218	718	2018-03-12 10:20:39	2018-03-12 10:32:37	1	Nursing
1000005074	22218	98	2018-03-12 11:31:59	2018-03-12 11:33:37	1	Nursing
1000005074	22218	635	2018-03-12 13:40:15	2018-03-12 13:50:50	1	Nursing
1000005074	22218	69	2018-03-12 14:51:40	2018-03-12 14:52:49	1	Nursing
1000005074	22346	167	2018-03-12 08:39:25	2018-03-12 08:42:12	3	Respiratory Therapy
1000005074	28240	234	2018-03-12 17:16:23	2018-03-12 17:20:17	7	Nursing Assistant
1000005075	22030	107	2018-03-12 08:53:43	2018-03-12 08:55:30	2	Physical Therapy
1000005075	22204	67	2018-03-12 13:18:59	2018-03-12 13:20:06	1	Nursing
1000005075	22204	292	2018-03-12 15:08:17	2018-03-12 15:13:09	1	Nursing
1000005075	22204	180	2018-03-12 18:46:24	2018-03-12 18:49:24	1	Nursing
1000005075	22214	131	2018-03-12 07:24:25	2018-03-12 07:26:36	1	Nursing
1000005075	22218	240	2018-03-12 08:27:15	2018-03-12 08:31:15	1	Nursing
1000005075	22218	684	2018-03-12 09:39:54	2018-03-12 09:51:18	1	Nursing
1000005075	22218	374	2018-03-12 09:53:05	2018-03-12 09:59:19	1	Nursing
1000005075	22218	178	2018-03-12 10:02:54	2018-03-12 10:05:52	1	Nursing
1000005075	22218	81	2018-03-12 12:11:16	2018-03-12 12:12:37	1	Nursing
1000005075	22218	673	2018-03-12 12:16:54	2018-03-12 12:28:07	1	Nursing
1000005075	22218	637	2018-03-12 12:44:08	2018-03-12 12:54:45	1	Nursing
1000005075	22218	263	2018-03-12 13:57:07	2018-03-12 14:01:30	1	Nursing
1000005075	22218	84	2018-03-12 14:47:19	2018-03-12 14:48:43	1	Nursing
1000005075	22346	66	2018-03-12 08:42:26	2018-03-12 08:43:32	3	Respiratory Therapy
1000005075	22363	151	2018-03-12 18:30:53	2018-03-12 18:33:24	7	Nursing Assistant
1000005075	23837	627	2018-03-12 09:39:35	2018-03-12 09:50:02	33	Facilities/Maintenance
1000005076	22022	83	2018-03-12 13:03:07	2018-03-12 13:04:30	2	Physical Therapy
1000005076	22214	321	2018-03-12 07:11:39	2018-03-12 07:17:00	1	Nursing
1000005076	22214	104	2018-03-12 09:16:41	2018-03-12 09:18:25	1	Nursing
1000005076	22214	153	2018-03-12 09:31:12	2018-03-12 09:33:45	1	Nursing
1000005076	22214	698	2018-03-12 09:34:51	2018-03-12 09:46:29	1	Nursing
1000005076	22214	131	2018-03-12 13:24:54	2018-03-12 13:27:05	1	Nursing
1000005076	22214	392	2018-03-12 17:58:42	2018-03-12 18:05:14	1	Nursing
1000005076	22214	237	2018-03-12 18:05:57	2018-03-12 18:09:54	1	Nursing
1000005076	22214	84	2018-03-12 18:24:27	2018-03-12 18:25:51	1	Nursing
1000005076	22218	163	2018-03-12 10:06:06	2018-03-12 10:08:49	1	Nursing
1000005076	22346	130	2018-03-12 08:36:58	2018-03-12 08:39:08	3	Respiratory Therapy
1000005076	22363	675	2018-03-12 18:35:58	2018-03-12 18:47:13	7	Nursing Assistant
1000005078	22218	79	2018-03-12 07:13:30	2018-03-12 07:14:49	1	Nursing
1000005078	22218	61	2018-03-12 08:05:04	2018-03-12 08:06:05	1	Nursing
1000005078	22218	465	2018-03-12 09:14:22	2018-03-12 09:22:07	1	Nursing
1000005078	22218	458	2018-03-12 10:11:59	2018-03-12 10:19:37	1	Nursing
1000005078	22218	739	2018-03-12 11:01:24	2018-03-12 11:13:43	1	Nursing
1000005078	22346	300	2018-03-12 12:12:40	2018-03-12 12:17:40	3	Respiratory Therapy
1000005078	22346	86	2018-03-12 12:37:56	2018-03-12 12:39:22	3	Respiratory Therapy
1000005078	28240	134	2018-03-12 08:17:16	2018-03-12 08:19:30	7	Nursing Assistant
1000005078	28240	177	2018-03-12 10:55:15	2018-03-12 10:58:12	7	Nursing Assistant
1000005078	28240	702	2018-03-12 15:53:22	2018-03-12 16:05:04	7	Nursing Assistant
1000005078	28240	215	2018-03-12 16:06:31	2018-03-12 16:10:06	7	Nursing Assistant
1000005078	28240	657	2018-03-12 16:10:57	2018-03-12 16:21:54	7	Nursing Assistant
1000005078	28240	83	2018-03-12 17:20:59	2018-03-12 17:22:22	7	Nursing Assistant
1000005078	28240	204	2018-03-12 17:23:11	2018-03-12 17:26:35	7	Nursing Assistant
1000005079	22187	60	2018-03-12 09:50:26	2018-03-12 09:51:26	1	Nursing
1000005079	22214	100	2018-03-12 09:12:16	2018-03-12 09:13:56	1	Nursing
1000005079	22218	109	2018-03-12 11:29:23	2018-03-12 11:31:12	1	Nursing
1000005079	22218	183	2018-03-12 12:56:29	2018-03-12 12:59:32	1	Nursing
1000005079	28240	2243	2018-03-12 12:56:32	2018-03-12 13:33:55	7	Nursing Assistant
1000005079	28240	592	2018-03-12 14:26:30	2018-03-12 14:36:22	7	Nursing Assistant
1000005079	28240	343	2018-03-12 16:22:00	2018-03-12 16:27:43	7	Nursing Assistant
1000005079	28240	862	2018-03-12 17:26:42	2018-03-12 17:41:04	7	Nursing Assistant
1000005079	28240	269	2018-03-12 18:09:29	2018-03-12 18:13:58	7	Nursing Assistant
1000005080	22214	272	2018-03-12 07:04:55	2018-03-12 07:09:27	1	Nursing
1000005080	22214	135	2018-03-12 07:45:48	2018-03-12 07:48:03	1	Nursing
1000005080	22214	126	2018-03-12 07:49:49	2018-03-12 07:51:55	1	Nursing
1000005080	22214	406	2018-03-12 07:52:27	2018-03-12 07:59:13	1	Nursing
1000005080	22214	73	2018-03-12 10:16:39	2018-03-12 10:17:52	1	Nursing
1000005080	22214	239	2018-03-12 10:19:29	2018-03-12 10:23:28	1	Nursing
1000005080	22214	220	2018-03-12 11:33:50	2018-03-12 11:37:30	1	Nursing
1000005080	22214	94	2018-03-12 13:22:29	2018-03-12 13:24:03	1	Nursing
1000005080	22214	228	2018-03-12 16:42:23	2018-03-12 16:46:11	1	Nursing
1000005080	22214	264	2018-03-12 17:50:44	2018-03-12 17:55:08	1	Nursing
1000005080	22214	139	2018-03-12 17:56:08	2018-03-12 17:58:27	1	Nursing
1000005080	22218	61	2018-03-12 07:50:09	2018-03-12 07:51:10	1	Nursing
1000005080	22218	134	2018-03-12 10:09:27	2018-03-12 10:11:41	1	Nursing
1000005081	22204	214	2018-03-12 13:11:52	2018-03-12 13:15:26	1	Nursing
1000005081	22204	595	2018-03-12 14:01:22	2018-03-12 14:11:17	1	Nursing
1000005081	22204	465	2018-03-12 14:12:42	2018-03-12 14:20:27	1	Nursing
1000005081	22204	200	2018-03-12 15:42:17	2018-03-12 15:45:37	1	Nursing
1000005081	22204	93	2018-03-12 16:10:55	2018-03-12 16:12:28	1	Nursing
1000005081	22204	96	2018-03-12 16:39:46	2018-03-12 16:41:22	1	Nursing
1000005081	22204	196	2018-03-12 17:06:46	2018-03-12 17:10:02	1	Nursing
1000005081	22204	293	2018-03-12 17:13:08	2018-03-12 17:18:01	1	Nursing
1000005081	22204	157	2018-03-12 17:20:14	2018-03-12 17:22:51	1	Nursing
1000005081	22218	67	2018-03-12 10:49:49	2018-03-12 10:50:56	1	Nursing
1000005081	22218	65	2018-03-12 10:53:48	2018-03-12 10:54:53	1	Nursing
1000005081	22218	83	2018-03-12 13:34:22	2018-03-12 13:35:45	1	Nursing
1000005081	22218	365	2018-03-12 14:02:05	2018-03-12 14:08:10	1	Nursing
1000005081	22218	112	2018-03-12 14:32:42	2018-03-12 14:34:34	1	Nursing
1000005081	22218	90	2018-03-12 14:35:12	2018-03-12 14:36:42	1	Nursing
1000005081	22346	63	2018-03-12 12:11:15	2018-03-12 12:12:18	3	Respiratory Therapy
1000005081	23837	317	2018-03-12 17:12:17	2018-03-12 17:17:34	33	Facilities/Maintenance
1000005081	30066	625	2018-03-12 13:55:48	2018-03-12 14:06:13	1	Nursing
1000005082	22030	79	2018-03-12 09:37:11	2018-03-12 09:38:30	2	Physical Therapy
1000005082	22346	125	2018-03-12 12:08:58	2018-03-12 12:11:03	3	Respiratory Therapy
1000005082	23837	394	2018-03-12 15:09:22	2018-03-12 15:15:56	33	Facilities/Maintenance
1000005082	23837	1028	2018-03-12 16:07:17	2018-03-12 16:24:25	33	Facilities/Maintenance
1000005082	23837	123	2018-03-12 16:36:10	2018-03-12 16:38:13	33	Facilities/Maintenance
1000005082	23837	235	2018-03-12 17:37:18	2018-03-12 17:41:13	33	Facilities/Maintenance
1000005082	23837	248	2018-03-12 17:42:47	2018-03-12 17:46:55	33	Facilities/Maintenance
1000005082	28240	257	2018-03-12 11:15:37	2018-03-12 11:19:54	7	Nursing Assistant
1000005082	28240	219	2018-03-12 12:48:23	2018-03-12 12:52:02	7	Nursing Assistant
1000005083	22346	223	2018-03-12 08:29:00	2018-03-12 08:32:43	3	Respiratory Therapy
1000005083	28240	292	2018-03-12 08:04:03	2018-03-12 08:08:55	7	Nursing Assistant
1000005083	28240	498	2018-03-12 09:00:33	2018-03-12 09:08:51	7	Nursing Assistant
1000005083	28240	80	2018-03-12 10:53:06	2018-03-12 10:54:26	7	Nursing Assistant
1000005083	28240	289	2018-03-12 14:19:55	2018-03-12 14:24:44	7	Nursing Assistant
1000005083	28240	163	2018-03-12 14:47:58	2018-03-12 14:50:41	7	Nursing Assistant
1000005083	28240	94	2018-03-12 16:28:00	2018-03-12 16:29:34	7	Nursing Assistant
1000005083	28240	504	2018-03-12 17:46:48	2018-03-12 17:55:12	7	Nursing Assistant
1000005084	22214	136	2018-03-12 07:28:26	2018-03-12 07:30:42	1	Nursing
1000005084	22214	183	2018-03-12 07:33:04	2018-03-12 07:36:07	1	Nursing
1000005084	22214	127	2018-03-12 08:54:27	2018-03-12 08:56:34	1	Nursing
1000005084	22214	210	2018-03-12 09:48:27	2018-03-12 09:51:57	1	Nursing
1000005084	22214	624	2018-03-12 09:53:28	2018-03-12 10:03:52	1	Nursing
1000005084	22214	203	2018-03-12 14:14:24	2018-03-12 14:17:47	1	Nursing
1000005084	22214	83	2018-03-12 14:43:12	2018-03-12 14:44:35	1	Nursing
1000005084	22214	842	2018-03-12 17:00:43	2018-03-12 17:14:45	1	Nursing
1000005084	22214	63	2018-03-12 17:22:57	2018-03-12 17:24:00	1	Nursing
1000005084	22346	61	2018-03-12 08:27:25	2018-03-12 08:28:26	3	Respiratory Therapy
1000005084	23837	65	2018-03-12 09:28:07	2018-03-12 09:29:12	33	Facilities/Maintenance
1000005084	23837	73	2018-03-12 09:29:50	2018-03-12 09:31:03	33	Facilities/Maintenance
1000005085	22009	197	2018-03-12 15:01:34	2018-03-12 15:04:51	2	Physical Therapy
1000005085	22030	97	2018-03-12 09:22:13	2018-03-12 09:23:50	2	Physical Therapy
1000005085	22030	100	2018-03-12 09:39:13	2018-03-12 09:40:53	2	Physical Therapy
1000005085	22030	183	2018-03-12 09:44:13	2018-03-12 09:47:16	2	Physical Therapy
1000005085	22095	877	2018-03-12 13:43:10	2018-03-12 13:57:47	8	Case Manager
1000005085	22346	83	2018-03-12 08:05:38	2018-03-12 08:07:01	3	Respiratory Therapy
1000005085	22346	129	2018-03-12 10:18:26	2018-03-12 10:20:35	3	Respiratory Therapy
1000005085	22346	168	2018-03-12 14:00:14	2018-03-12 14:03:02	3	Respiratory Therapy
1000005085	23837	188	2018-03-12 07:26:30	2018-03-12 07:29:38	33	Facilities/Maintenance
1000005085	23837	309	2018-03-12 07:43:54	2018-03-12 07:49:03	33	Facilities/Maintenance
1000005085	23837	210	2018-03-12 07:50:48	2018-03-12 07:54:18	33	Facilities/Maintenance
1000005085	23837	610	2018-03-12 09:11:51	2018-03-12 09:22:01	33	Facilities/Maintenance
1000005085	23837	86	2018-03-12 11:08:54	2018-03-12 11:10:20	33	Facilities/Maintenance
1000005085	23837	210	2018-03-12 11:22:38	2018-03-12 11:26:08	33	Facilities/Maintenance
1000005085	23837	348	2018-03-12 15:23:14	2018-03-12 15:29:02	33	Facilities/Maintenance
1000005085	23837	77	2018-03-12 16:33:50	2018-03-12 16:35:07	33	Facilities/Maintenance
1000005085	23837	488	2018-03-12 16:49:45	2018-03-12 16:57:53	33	Facilities/Maintenance
1000005085	23837	255	2018-03-12 16:58:28	2018-03-12 17:02:43	33	Facilities/Maintenance
1000005086	22030	425	2018-03-12 09:24:04	2018-03-12 09:31:09	2	Physical Therapy
1000005086	22030	154	2018-03-12 09:33:30	2018-03-12 09:36:04	2	Physical Therapy
1000005086	22214	175	2018-03-12 15:02:52	2018-03-12 15:05:47	1	Nursing
1000005086	22346	92	2018-03-12 12:06:20	2018-03-12 12:07:52	3	Respiratory Therapy
1000005086	22346	71	2018-03-12 12:29:04	2018-03-12 12:30:15	3	Respiratory Therapy
1000005086	23837	382	2018-03-12 07:32:17	2018-03-12 07:38:39	33	Facilities/Maintenance
1000005086	23837	153	2018-03-12 08:28:45	2018-03-12 08:31:18	33	Facilities/Maintenance
1000005086	23837	415	2018-03-12 08:33:34	2018-03-12 08:40:29	33	Facilities/Maintenance
1000005086	23837	109	2018-03-12 11:28:48	2018-03-12 11:30:37	33	Facilities/Maintenance
1000005086	23837	71	2018-03-12 13:49:06	2018-03-12 13:50:17	33	Facilities/Maintenance
1000005086	23837	555	2018-03-12 13:50:45	2018-03-12 14:00:00	33	Facilities/Maintenance
1000005086	23837	138	2018-03-12 14:45:29	2018-03-12 14:47:47	33	Facilities/Maintenance
1000005086	23837	481	2018-03-12 14:53:26	2018-03-12 15:01:27	33	Facilities/Maintenance
1000005086	23837	1277	2018-03-12 15:30:09	2018-03-12 15:51:26	33	Facilities/Maintenance
1000005086	23837	87	2018-03-12 17:47:45	2018-03-12 17:49:12	33	Facilities/Maintenance
1000005086	23837	461	2018-03-12 17:50:35	2018-03-12 17:58:16	33	Facilities/Maintenance
1000005087	22346	337	2018-03-12 12:00:05	2018-03-12 12:05:42	3	Respiratory Therapy
1000005087	23837	100	2018-03-12 07:17:51	2018-03-12 07:19:31	33	Facilities/Maintenance
1000005087	23837	177	2018-03-12 07:22:08	2018-03-12 07:25:05	33	Facilities/Maintenance
1000005087	23837	554	2018-03-12 07:55:07	2018-03-12 08:04:21	33	Facilities/Maintenance
1000005087	23837	503	2018-03-12 08:49:52	2018-03-12 08:58:15	33	Facilities/Maintenance
1000005087	23837	71	2018-03-12 10:28:44	2018-03-12 10:29:55	33	Facilities/Maintenance
1000005087	23837	132	2018-03-12 10:34:37	2018-03-12 10:36:49	33	Facilities/Maintenance
1000005087	23837	196	2018-03-12 10:58:13	2018-03-12 11:01:29	33	Facilities/Maintenance
1000005087	23837	65	2018-03-12 12:27:47	2018-03-12 12:28:52	33	Facilities/Maintenance
1000005087	23837	109	2018-03-12 16:31:13	2018-03-12 16:33:02	33	Facilities/Maintenance
1000005087	23837	297	2018-03-12 17:18:15	2018-03-12 17:23:12	33	Facilities/Maintenance
1000005087	23837	177	2018-03-12 17:29:21	2018-03-12 17:32:18	33	Facilities/Maintenance
1000005087	23837	131	2018-03-12 18:13:13	2018-03-12 18:15:24	33	Facilities/Maintenance
1000005087	23837	506	2018-03-12 18:17:17	2018-03-12 18:25:43	33	Facilities/Maintenance
1000005088	22022	142	2018-03-12 08:36:54	2018-03-12 08:39:16	2	Physical Therapy
1000005088	22022	393	2018-03-12 08:59:34	2018-03-12 09:06:07	2	Physical Therapy
1000005088	22022	273	2018-03-12 13:09:13	2018-03-12 13:13:46	2	Physical Therapy
1000005088	22030	207	2018-03-12 08:35:43	2018-03-12 08:39:10	2	Physical Therapy
1000005088	22030	1349	2018-03-12 08:59:17	2018-03-12 09:21:46	2	Physical Therapy
1000005088	22030	279	2018-03-12 13:08:50	2018-03-12 13:13:29	2	Physical Therapy
1000005088	22194	147	2018-03-12 17:27:00	2018-03-12 17:29:27	1	Nursing
1000005088	22214	101	2018-03-12 17:45:50	2018-03-12 17:47:31	1	Nursing
1000005088	23837	398	2018-03-12 07:10:23	2018-03-12 07:17:01	33	Facilities/Maintenance
1000005088	23837	266	2018-03-12 08:40:50	2018-03-12 08:45:16	33	Facilities/Maintenance
1000005088	23837	241	2018-03-12 09:54:56	2018-03-12 09:58:57	33	Facilities/Maintenance
1000005088	23837	283	2018-03-12 12:07:50	2018-03-12 12:12:33	33	Facilities/Maintenance
1000005088	23837	343	2018-03-12 14:05:02	2018-03-12 14:10:45	33	Facilities/Maintenance
1000005088	23837	183	2018-03-12 14:12:30	2018-03-12 14:15:33	33	Facilities/Maintenance
1000005088	23837	144	2018-03-12 17:23:27	2018-03-12 17:25:51	33	Facilities/Maintenance
1000005088	23837	142	2018-03-12 17:26:48	2018-03-12 17:29:10	33	Facilities/Maintenance
